year,origin,destination,trade_value
2000,ANT,SWE,88977.0
2000,ANT,SWZ,74591.0
2000,ANT,TGO,147.0
2000,ANT,THA,2309385.0
2000,ANT,TTO,8077570.0
2000,ANT,TUN,16906.0
2000,ANT,TUR,56567.0
2000,ANT,TWN,739826.0
2000,ANT,TZA,30558.0
2000,ANT,UGA,22339.0
2000,ANT,URY,35960.0
2000,ANT,USA,555998215.0
2000,ANT,VCT,632848.0
2000,ANT,VEN,299613496.0
2000,ANT,ZAF,113248.0
2000,ANT,ZWE,375064.0
2000,ARE,ALB,1191499.0
2000,ARE,AND,215.0
2000,ARE,ARG,2628459.0
2000,ARE,ARM,37568296.0
2000,ARE,AUS,522194713.0
2000,ARE,AUT,6196581.0
2000,ARE,AZE,19328442.0
2000,ARE,BEL,333851820.0
2000,ARE,BEN,224682.0
2000,ARE,BFA,587793.0
2000,ARE,BGR,5914594.0
2000,ARE,BLR,1094755.0
2000,ARE,BOL,135432.0
2000,ARE,BRA,60989811.0
2000,ARE,BRB,10577.0
2000,ARE,CAN,94088206.0
2000,ARE,CHE,64905849.0
2000,ARE,CHL,483841.0
2000,ARE,CHN,376213277.0
2000,ARE,CIV,1648920.0
2000,ARE,CMR,1431122.0
2000,ARE,COL,210456.0
2000,ARE,CPV,129.0
2000,ARE,CRI,25557.0
2000,ARE,CUB,1190323.0
2000,ARE,CYP,10227347.0
2000,ARE,CZE,16617085.0
2000,ARE,DEU,129776769.0
2000,ARE,DMA,76885.0
2000,ARE,DNK,66833916.0
2000,ARE,DZA,23606855.0
2000,ARE,ECU,1856789.0
2000,ARE,ESP,84891410.0
2000,ARE,EST,1246342.0
2000,ARE,ETH,27789677.0
2000,ARE,FIN,2742890.0
2000,ARE,FRA,174716953.0
2000,ARE,GAB,4868614.0
2000,ARE,GBR,696431438.0
2000,ARE,GEO,9772910.0
2000,ARE,GIN,4075899.0
2000,ARE,GRC,12009147.0
2000,ARE,GRD,17019.0
2000,ARE,GTM,131354.0
2000,ARE,GUY,100656.0
2000,ARE,HKG,522278758.0
2000,ARE,HND,416927.0
2000,ARE,HRV,582712.0
2000,ARE,HUN,722647.0
2000,ARE,IDN,177102070.0
2000,ARE,IND,983346000.0
2000,ARE,IRL,25366407.0
2000,ARE,IRN,985442590.0
2000,ARE,ISL,4227642.0
2000,ARE,ITA,150662009.0
2000,ARE,JAM,233446.0
2000,ARE,JOR,45080472.0
2000,ARE,JPN,13136775313.0
2000,ARE,KAZ,1482407.0
2000,ARE,KEN,368535262.0
2000,ARE,KGZ,6923280.0
2000,ARE,KHM,108329.0
2000,ARE,KNA,955.0
2000,ARE,KOR,4185083219.0
2000,ARE,LBN,46326418.0
2000,ARE,LCA,147027.0
2000,ARE,LKA,131667855.0
2000,ARE,LTU,345853.0
2000,ARE,LUX,1114047.0
2000,ARE,LVA,2786565.0
2000,ARE,MAC,430983.0
2000,ARE,MDA,332432.0
2000,ARE,MDG,1983993.0
2000,ARE,MDV,31517654.0
2000,ARE,MEX,16328735.0
2000,ARE,MKD,1112138.0
2000,ARE,MLI,793768.0
2000,ARE,MLT,3699429.0
2000,ARE,MRT,1159073.0
2000,ARE,MUS,22453601.0
2000,ARE,MWI,3119672.0
2000,ARE,MYS,275761664.0
2000,ARE,MYT,2034351.0
2000,ARE,NAM,714576.0
2000,ARE,NER,853534.0
2000,ARE,NGA,33846756.0
2000,ARE,NIC,22078.0
2000,ARE,NLD,132995570.0
2000,ARE,NOR,6468046.0
2000,ARE,NPL,27833053.0
2000,ARE,NZL,192244111.0
2000,ARE,OMN,1323260625.0
2000,ARE,PAN,37373.0
2000,ARE,PER,2662323.0
2000,ARE,PHL,815946607.0
2000,ARE,POL,5046744.0
2000,ARE,PRT,15874072.0
2000,ARE,PYF,62791.0
2000,ARE,QAT,221036071.0
2000,ARE,ROU,5114581.0
2000,ARE,RUS,12833061.0
2000,ARE,SAU,538054981.0
2000,ARE,SCG,340000.0
2000,ARE,SDN,93741729.0
2000,ARE,SEN,3455853.0
2000,ARE,SGP,1339802797.0
2000,ARE,SVK,1588723.0
2000,ARE,SVN,804016.0
2000,ARE,SWE,13342817.0
2000,ARE,SWZ,65928.0
2000,ARE,TGO,86792.0
2000,ARE,THA,1589020055.0
2000,ARE,TKM,144910109.0
2000,ARE,TTO,23671.0
2000,ARE,TUN,15013921.0
2000,ARE,TUR,37712761.0
2000,ARE,TWN,560794867.0
2000,ARE,TZA,47491814.0
2000,ARE,UGA,46227396.0
2000,ARE,URY,1234647.0
2000,ARE,USA,813283328.0
2000,ARE,VEN,2566114.0
2000,ARE,VNM,7835156.0
2000,ARE,ZAF,129461074.0
2000,ARE,ZWE,5060996.0
2000,ARG,AGO,11930544.0
2000,ARG,ALB,140511.0
2000,ARG,AND,29621.0
2000,ARG,ARE,94536789.0
2000,ARG,ARM,39161.0
2000,ARG,ATG,229759.0
2000,ARG,AUS,70153219.0
2000,ARG,AUT,15198417.0
2000,ARG,AZE,107724.0
2000,ARG,BDI,50941.0
2000,ARG,BEL,342269105.0
2000,ARG,BEN,977252.0
2000,ARG,BFA,1032207.0
2000,ARG,BGD,132113641.0
2000,ARG,BGR,7003574.0
2000,ARG,BHR,23097377.0
2000,ARG,BHS,7636228.0
2000,ARG,BIH,150690.0
2000,ARG,BLR,14134792.0
2000,ARG,BLZ,1693268.0
2000,ARG,BOL,274725398.0
2000,ARG,BRA,7049582250.0
2000,ARG,BRB,1070298.0
2000,ARG,BRN,1120478.0
2000,ARG,CAN,297729750.0
2000,ARG,CHE,76077545.0
2000,ARG,CHL,2717186938.0
2000,ARG,CHN,884451969.0
2000,ARG,CIV,4451466.0
2000,ARG,CMR,497972.0
2000,ARG,COD,285179.0
2000,ARG,COG,4000549.0
2000,ARG,COL,141154021.0
2000,ARG,CPV,28075.0
2000,ARG,CRI,34425427.0
2000,ARG,CUB,63133067.0
2000,ARG,CYP,18950452.0
2000,ARG,CZE,6614598.0
2000,ARG,DEU,743163484.0
2000,ARG,DJI,31493.0
2000,ARG,DMA,69730.0
2000,ARG,DNK,206907918.0
2000,ARG,DOM,55931031.0
2000,ARG,DZA,77141018.0
