year,origin,destination,migrant_stock
2000,AUS,LUX,67
2000,AUS,LVA,93
2000,AUS,MDV,48
2000,AUS,MEX,285
2000,AUS,MLT,4128
2000,AUS,MNE,130
2000,AUS,MNG,4
2000,AUS,MYS,2432
2000,AUS,NAM,705
2000,AUS,NOR,977
2000,AUS,NRU,171
2000,AUS,NZL,55949
2000,AUS,PAN,48
2000,AUS,PER,619
2000,AUS,PHL,2234
2000,AUS,PNG,10675
2000,AUS,POL,549
2000,AUS,PRT,1185
2000,AUS,SGP,7767
2000,AUS,SLB,340
2000,AUS,SLV,21
2000,AUS,SRB,381
2000,AUS,SVK,176
2000,AUS,SVN,303
2000,AUS,SWZ,16
2000,AUS,SYC,51
2000,AUS,TLS,482
2000,AUS,UGA,137
2000,AUS,VEN,127
2000,AUS,VUT,450
2000,AUS,WSM,422
2000,AUS,ZMB,83
2000,AUT,ARG,2997
2000,AUT,AUS,21615
2000,AUT,BEL,3146
2000,AUT,BGR,98
2000,AUT,BHS,22
2000,AUT,BIH,273
2000,AUT,BLR,61
2000,AUT,BOL,166
2000,AUT,BRA,3155
2000,AUT,CAN,22489
2000,AUT,CHE,55280
2000,AUT,CHL,535
2000,AUT,CHN,729
2000,AUT,COL,171
2000,AUT,CRI,98
2000,AUT,CYP,161
2000,AUT,CZE,7559
2000,AUT,DEU,214600
2000,AUT,DNK,1472
2000,AUT,DOM,1179
2000,AUT,ECU,221
2000,AUT,FIN,262
2000,AUT,GEO,26
2000,AUT,GRC,2232
2000,AUT,HRV,1461
2000,AUT,HTI,152
2000,AUT,HUN,5523
2000,AUT,ISL,72
2000,AUT,ISR,6265
2000,AUT,ITA,16837
2000,AUT,LBY,554
2000,AUT,LCA,11
2000,AUT,LIE,2608
2000,AUT,LTU,41
2000,AUT,LUX,469
2000,AUT,LVA,104
2000,AUT,MDV,21
2000,AUT,MEX,497
2000,AUT,MLT,55
2000,AUT,MNE,252
2000,AUT,MNG,4
2000,AUT,NAM,801
2000,AUT,NIC,38
2000,AUT,NOR,1058
2000,AUT,PAN,53
2000,AUT,PER,230
2000,AUT,POL,4162
2000,AUT,PRT,388
2000,AUT,ROU,584
2000,AUT,RUS,3894
2000,AUT,SLV,10
2000,AUT,SRB,4153
2000,AUT,SVK,2070
2000,AUT,SVN,5745
2000,AUT,TJK,69
2000,AUT,TUR,14111
2000,AUT,VEN,802
2000,AZE,ARM,409268
2000,AZE,AUS,188
2000,AZE,BGR,923
2000,AZE,BLR,14000
2000,AZE,BOL,2
2000,AZE,CAN,919
2000,AZE,CHN,373
2000,AZE,CRI,2
2000,AZE,CYP,16
2000,AZE,CZE,132
2000,AZE,DNK,99
2000,AZE,EST,1437
2000,AZE,FIN,8
2000,AZE,GEO,5780
2000,AZE,GRC,387
2000,AZE,HUN,103
2000,AZE,IRN,3046
2000,AZE,ISL,3
2000,AZE,ISR,15199
2000,AZE,ITA,86
2000,AZE,KAZ,16162
2000,AZE,KGZ,8631
2000,AZE,LTU,1340
2000,AZE,LVA,3109
2000,AZE,MDA,1685
2000,AZE,NOR,63
2000,AZE,POL,233
2000,AZE,PRT,10
2000,AZE,RUS,841759
2000,AZE,SVK,23
2000,AZE,TJK,180
2000,AZE,TKM,7809
2000,AZE,TUR,16787
2000,AZE,UKR,94083
2000,AZE,UZB,22744
2000,BDI,AUS,27
2000,BDI,BEL,3522
2000,BDI,BGR,9
2000,BDI,BOL,1
2000,BDI,CAN,1901
2000,BDI,CHL,30
2000,BDI,CHN,195
2000,BDI,COD,36692
2000,BDI,CYP,2
2000,BDI,DNK,254
2000,BDI,DOM,4
2000,BDI,EGY,68
2000,BDI,ERI,1663
2000,BDI,ETH,16
2000,BDI,FIN,5
2000,BDI,GAB,87
2000,BDI,GRC,137
2000,BDI,ITA,549
2000,BDI,KEN,198
2000,BDI,LVA,1
2000,BDI,MOZ,985
2000,BDI,MWI,5677
2000,BDI,NAM,511
2000,BDI,NOR,58
2000,BDI,RWA,56107
2000,BDI,SWZ,255
2000,BDI,TZA,628609
2000,BDI,UGA,60828
2000,BDI,ZMB,1796
2000,BEL,AND,241
2000,BEL,ARG,1696
2000,BEL,AUS,5320
2000,BEL,BDI,475
2000,BEL,BGR,181
2000,BEL,BHS,20
2000,BEL,BLR,38
2000,BEL,BOL,368
2000,BEL,BRA,1398
2000,BEL,CAN,19959
2000,BEL,CHE,10804
2000,BEL,CHL,870
2000,BEL,CHN,1100
2000,BEL,COL,327
2000,BEL,CPV,24
2000,BEL,CRI,223
2000,BEL,CUW,93
2000,BEL,CYP,119
2000,BEL,CZE,744
2000,BEL,DNK,1213
2000,BEL,DOM,598
2000,BEL,ECU,317
2000,BEL,EGY,423
2000,BEL,ESP,1182
2000,BEL,FIN,173
2000,BEL,FRA,128613
2000,BEL,GAB,258
2000,BEL,GEO,23
2000,BEL,GIN,166
2000,BEL,GRC,4629
2000,BEL,HND,19
2000,BEL,HRV,197
2000,BEL,HUN,1104
2000,BEL,ISL,77
2000,BEL,ISR,4644
2000,BEL,ITA,42555
2000,BEL,JPN,513
2000,BEL,LBY,496
2000,BEL,LCA,10
2000,BEL,LIE,22
2000,BEL,LTU,26
2000,BEL,LUX,12679
2000,BEL,LVA,28
2000,BEL,MAR,927
2000,BEL,MEX,736
2000,BEL,MLT,58
2000,BEL,MRT,60
2000,BEL,MUS,15
2000,BEL,NAM,242
2000,BEL,NIC,40
2000,BEL,NLD,45692
2000,BEL,NOR,886
2000,BEL,PAN,22
2000,BEL,PER,618
2000,BEL,POL,2472
2000,BEL,PRT,2862
2000,BEL,ROU,251
2000,BEL,SLV,49
2000,BEL,SRB,122
2000,BEL,SVK,529
2000,BEL,SVN,317
2000,BEL,SYC,20
2000,BEL,TGO,32
2000,BEL,TUR,8627
2000,BEL,VEN,392
2000,BEN,AUS,28
2000,BEN,BFA,3071
2000,BEN,BGR,15
2000,BEN,BRA,30
2000,BEN,CIV,55950
2000,BEN,COG,7549
2000,BEN,CRI,1
2000,BEN,CYP,4
2000,BEN,DNK,32
2000,BEN,FIN,1
2000,BEN,FRA,13208
2000,BEN,GAB,26999
2000,BEN,GHA,9987
2000,BEN,GIN,1897
2000,BEN,GRC,9
2000,BEN,HUN,18
2000,BEN,ITA,658
2000,BEN,LBR,61
2000,BEN,MLI,520
2000,BEN,MRT,541
2000,BEN,NAM,206
2000,BEN,NER,17081
2000,BEN,NGA,143212
2000,BEN,NOR,7
2000,BEN,PRT,25
2000,BEN,SEN,2820
2000,BEN,SLE,248
2000,BEN,SVK,1
2000,BEN,TGO,36908
2000,BFA,AUS,11
2000,BFA,BEN,6154
2000,BFA,BGR,6
2000,BFA,BRA,29
2000,BFA,CIV,1190543
2000,BFA,DNK,21
2000,BFA,FIN,1
2000,BFA,GAB,3616
2000,BFA,GHA,46451
2000,BFA,GIN,598
2000,BFA,GRC,7
2000,BFA,ITA,2250
2000,BFA,LBR,373
2000,BFA,MLI,20155
2000,BFA,NAM,94
2000,BFA,NER,18432
2000,BFA,NOR,11
2000,BFA,SLE,33
2000,BFA,SVN,1
2000,BFA,TGO,8781
2000,BGD,ARE,288689
2000,BGD,AUS,8488
2000,BGD,BEL,910
2000,BGD,BGR,278
2000,BGD,BHR,28836
2000,BGD,BOL,16
2000,BGD,BRA,52
2000,BGD,BRN,1156
2000,BGD,BTN,33
2000,BGD,CAN,18853
2000,BGD,CHN,470
2000,BGD,CRI,2
2000,BGD,CYP,296
2000,BGD,DNK,393
2000,BGD,EGY,273
2000,BGD,ESP,1417
2000,BGD,FIN,347
2000,BGD,FJI,1287
2000,BGD,GBR,149563
2000,BGD,GRC,4694
2000,BGD,HKG,366
2000,BGD,HUN,46
2000,BGD,IND,3750017
2000,BGD,ITA,12140
2000,BGD,JOR,4703
