year,origin,destination,route_count
2014,BFA,BEN,1
2014,BFA,CIV,8
2014,BFA,DZA,1
2014,BFA,ETH,1
2014,BFA,FRA,1
2014,BFA,GHA,1
2014,BFA,MAR,1
2014,BFA,MLI,3
2014,BFA,NER,7
2014,BFA,SEN,1
2014,BFA,TGO,2
2014,BFA,TUN,1
2014,BGD,ARE,9
2014,BGD,BTN,1
2014,BGD,CHN,2
2014,BGD,GBR,1
2014,BGD,HKG,3
2014,BGD,IND,12
2014,BGD,ITA,1
2014,BGD,KWT,2
2014,BGD,LKA,2
2014,BGD,MMR,1
2014,BGD,MYS,6
2014,BGD,NPL,4
2014,BGD,OMN,5
2014,BGD,PAK,1
2014,BGD,QAT,2
2014,BGD,SAU,7
2014,BGD,SGP,4
2014,BGD,THA,7
2014,BGR,ARE,1
2014,BGR,AUT,3
2014,BGR,BEL,4
2014,BGR,CHE,1
2014,BGR,CYP,4
2014,BGR,CZE,2
2014,BGR,DEU,11
2014,BGR,DNK,1
2014,BGR,ESP,8
2014,BGR,FIN,1
2014,BGR,FRA,3
2014,BGR,GBR,10
2014,BGR,GRC,4
2014,BGR,IRL,1
2014,BGR,ISR,2
2014,BGR,ITA,7
2014,BGR,LUX,1
2014,BGR,NLD,2
2014,BGR,NOR,1
2014,BGR,POL,2
2014,BGR,ROU,3
2014,BGR,RUS,8
2014,BGR,SRB,2
2014,BHR,ARE,16
2014,BHR,CYP,1
2014,BHR,DEU,1
2014,BHR,EGY,2
2014,BHR,ETH,1
2014,BHR,FRA,1
2014,BHR,GBR,4
2014,BHR,IND,7
2014,BHR,IRN,3
2014,BHR,IRQ,2
2014,BHR,JOR,2
2014,BHR,KWT,4
2014,BHR,LBN,1
2014,BHR,LKA,2
2014,BHR,OMN,3
2014,BHR,PAK,6
2014,BHR,PHL,2
2014,BHR,QAT,10
2014,BHR,SAU,8
2014,BHR,SDN,1
2014,BHR,THA,3
2014,BHR,YEM,2
2014,BHS,CAN,3
2014,BHS,CUB,2
2014,BHS,CYM,1
2014,BHS,GBR,1
2014,BHS,JAM,1
2014,BHS,PAN,1
2014,BHS,TCA,4
2014,BHS,USA,72
2014,BIH,AUT,1
2014,BIH,CHE,1
2014,BIH,DEU,4
2014,BIH,DNK,1
2014,BIH,HRV,1
2014,BIH,ITA,1
2014,BIH,SRB,3
2014,BIH,SVN,1
2014,BIH,SWE,3
2014,BLR,ARE,2
2014,BLR,ARM,1
2014,BLR,AUT,2
2014,BLR,AZE,1
2014,BLR,CHE,1
2014,BLR,CYP,1
2014,BLR,CZE,2
2014,BLR,DEU,4
2014,BLR,ESP,1
2014,BLR,FIN,2
2014,BLR,FRA,2
2014,BLR,GBR,1
2014,BLR,GEO,3
2014,BLR,HUN,1
2014,BLR,IRN,1
2014,BLR,ISR,1
2014,BLR,ITA,2
2014,BLR,KAZ,1
