year,origin,destination,route_count
2000,BEN,GAB,3
2000,BEN,GHA,1
2000,BEN,KEN,1
2000,BEN,MLI,3
2000,BEN,NER,1
2000,BEN,NGA,3
2000,BEN,SEN,2
2000,BEN,TGO,3
2000,BFA,BEL,4
2000,BFA,BEN,1
2000,BFA,CIV,8
2000,BFA,DZA,1
2000,BFA,ETH,1
2000,BFA,FRA,1
2000,BFA,GHA,1
2000,BFA,MAR,1
2000,BFA,MLI,3
2000,BFA,NER,7
2000,BFA,SEN,1
2000,BFA,TGO,2
2000,BFA,TUN,1
2000,BFA,TUR,1
2000,BGD,ARE,9
2000,BGD,BTN,1
2000,BGD,CHN,2
2000,BGD,GBR,1
2000,BGD,HKG,3
2000,BGD,IND,12
2000,BGD,ITA,1
2000,BGD,KWT,2
2000,BGD,LKA,2
2000,BGD,MMR,1
2000,BGD,MYS,6
2000,BGD,NPL,4
2000,BGD,OMN,5
2000,BGD,PAK,1
2000,BGD,QAT,2
2000,BGD,SAU,7
2000,BGD,SGP,4
2000,BGD,THA,7
2000,BGD,TUR,1
2000,BGR,ARE,1
2000,BGR,AUT,3
2000,BGR,BEL,4
2000,BGR,CHE,1
2000,BGR,CYP,4
2000,BGR,CZE,2
2000,BGR,DEU,11
2000,BGR,DNK,1
2000,BGR,ESP,8
2000,BGR,FIN,1
2000,BGR,FRA,3
2000,BGR,GBR,10
2000,BGR,GRC,4
2000,BGR,IRL,1
2000,BGR,ISR,2
2000,BGR,ITA,7
2000,BGR,LUX,1
2000,BGR,NLD,2
2000,BGR,NOR,1
2000,BGR,POL,2
2000,BGR,ROU,3
2000,BGR,RUS,8
2000,BGR,SRB,2
2000,BGR,TUR,1
2000,BHR,ARE,16
2000,BHR,CYP,1
2000,BHR,DEU,1
2000,BHR,EGY,2
2000,BHR,ETH,1
2000,BHR,FRA,1
2000,BHR,GBR,4
2000,BHR,IND,7
2000,BHR,IRN,3
2000,BHR,IRQ,2
2000,BHR,JOR,2
2000,BHR,KWT,4
2000,BHR,LBN,1
2000,BHR,LKA,2
2000,BHR,OMN,3
2000,BHR,PAK,6
2000,BHR,PHL,2
2000,BHR,QAT,10
2000,BHR,SAU,8
2000,BHR,THA,3
2000,BHR,TUR,2
2000,BHR,YEM,2
2000,BHS,CAN,3
2000,BHS,CUB,2
2000,BHS,CYM,1
2000,BHS,GBR,1
2000,BHS,JAM,1
2000,BHS,PAN,1
2000,BHS,TCA,4
2000,BHS,USA,72
2000,BIH,AUT,1
2000,BIH,CHE,1
2000,BIH,DEU,4
2000,BIH,DNK,1
2000,BIH,HRV,1
2000,BIH,ITA,1
2000,BIH,SRB,3
2000,BIH,SVN,1
2000,BIH,SWE,3
2000,BIH,TUR,4
2000,BLR,ARE,2
2000,BLR,ARM,1
2000,BLR,AUT,2
2000,BLR,AZE,1
2000,BLR,CHE,1
2000,BLR,CYP,1
2000,BLR,CZE,2
2000,BLR,DEU,4
2000,BLR,ESP,1
2000,BLR,FIN,2
2000,BLR,FRA,2
2000,BLR,GBR,1
2000,BLR,GEO,3
2000,BLR,HUN,1
2000,BLR,IRN,1
2000,BLR,ISR,1
2000,BLR,ITA,2
2000,BLR,KAZ,1
2000,BLR,LBN,1
2000,BLR,LTU,1
2000,BLR,LVA,2
2000,BLR,NLD,1
2000,BLR,POL,2
2000,BLR,RUS,12
2000,BLR,SWE,1
2000,BLR,TKM,1
2000,BLR,TUR,2
2000,BLR,UKR,2
2000,BLZ,GTM,2
2000,BLZ,HND,2
2000,BLZ,MEX,2
2000,BLZ,SLV,1
2000,BLZ,USA,10
2000,BMU,CAN,2
2000,BMU,GBR,2
2000,BMU,USA,11
2000,BOL,ARG,2
2000,BOL,BRA,2
2000,BOL,CHL,3
2000,BOL,COL,1
2000,BOL,ESP,2
2000,BOL,PAN,1
2000,BOL,PER,8
2000,BOL,PRY,2
2000,BOL,USA,2
2000,BRA,AGO,2
2000,BRA,ARE,3
2000,BRA,ARG,29
2000,BRA,BOL,3
2000,BRA,BRB,1
2000,BRA,CAN,2
2000,BRA,CHE,1
2000,BRA,CHL,6
2000,BRA,COL,4
2000,BRA,DEU,8
2000,BRA,DOM,4
2000,BRA,ECU,1
2000,BRA,ESP,8
2000,BRA,FRA,4
2000,BRA,GBR,3
2000,BRA,GUF,1
2000,BRA,ITA,4
2000,BRA,MAR,1
2000,BRA,MEX,2
2000,BRA,NLD,2
2000,BRA,PAN,7
2000,BRA,PER,10
2000,BRA,PRT,12
2000,BRA,PRY,5
2000,BRA,QAT,1
2000,BRA,SUR,1
2000,BRA,TGO,1
2000,BRA,TUR,1
2000,BRA,URY,9
2000,BRA,USA,58
2000,BRA,VEN,3
2000,BRA,ZAF,2
