year,origin,destination,diplomatic_relation,aviation_routes,migrant_stock,trade_value
2000,ALB,COL,,,12,41854.0
2000,ALB,CRI,,,3,31513.0
2000,ALB,CUB,6,,226,152313.0
2000,ALB,CYP,,,126,25247.0
2000,ALB,CZE,6,,,700817.0
2000,ALB,DEU,6,2,,29586423.0
2000,ALB,DMA,,,,6340.0
2000,ALB,DNK,,,86,3352098.0
2000,ALB,DZA,,,,28930.0
2000,ALB,EGY,6,,,
2000,ALB,ESP,6,,,1577072.0
2000,ALB,EST,,,,1243.0
2000,ALB,ETH,,,,9315.0
2000,ALB,FIN,,,34,140220.0
2000,ALB,FRA,6,,3185,12793835.0
2000,ALB,GAB,,,,2635.0
2000,ALB,GBR,6,1,,2037964.0
2000,ALB,GEO,,,11,11612.0
2000,ALB,GRC,6,2,400253,55580844.0
2000,ALB,GTM,,,,33627.0
2000,ALB,GUY,,,,13317.0
2000,ALB,HKG,,,,45178.0
2000,ALB,HND,,,,40183.0
2000,ALB,HRV,,,157,925986.0
2000,ALB,HUN,6,,129,80780.0
2000,ALB,IDN,,,,28213.0
2000,ALB,IND,,,,34595.0
2000,ALB,IRL,,,,109316.0
2000,ALB,IRN,6,,,
2000,ALB,IRQ,6,,,
2000,ALB,ISL,,,20,11204.0
2000,ALB,ISR,,,,6316.0
2000,ALB,ITA,6,27,141643,199820426.0
2000,ALB,JAM,,,,15079.0
2000,ALB,JPN,,,,699494.0
2000,ALB,KHM,,,,7564.0
2000,ALB,KNA,,,,7086.0
2000,ALB,KOR,,,,209.0
2000,ALB,LBN,,,,11266.0
2000,ALB,LBY,,,223,
2000,ALB,LCA,,,,124.0
2000,ALB,LTU,,,6,13400.0
2000,ALB,LUX,,,264,9583.0
2000,ALB,LVA,,,8,
2000,ALB,MDA,,,,351348.0
2000,ALB,MDG,,,,2706.0
2000,ALB,MEX,,,,436773.0
2000,ALB,MKD,6,,69367,4587232.0
2000,ALB,MLT,,,48,560.0
2000,ALB,MNE,,,2511,
2000,ALB,MOZ,,,,81480.0
2000,ALB,MUS,,,,5549.0
2000,ALB,MYS,,,,18218.0
2000,ALB,MYT,,,,4837.0
2000,ALB,NER,,,,203.0
2000,ALB,NGA,,,,920032.0
2000,ALB,NLD,6,,,1414904.0
2000,ALB,NOR,,,149,51780.0
2000,ALB,NZL,,,,1903.0
2000,ALB,PAN,,,,81390.0
2000,ALB,PER,,,,15692.0
2000,ALB,PHL,,,,375200.0
2000,ALB,POL,6,,,
2000,ALB,PRT,,,40,150012.0
2000,ALB,PYF,,,,5799.0
2000,ALB,ROU,6,,685,58985.0
2000,ALB,RUS,6,,,1089400.0
2000,ALB,SAU,,,,2288.0
2000,ALB,SCG,,,,7249154.0
2000,ALB,SDN,,,,3500.0
2000,ALB,SEN,,,,21695.0
2000,ALB,SGP,,,,14465.0
2000,ALB,SMR,,,31,
2000,ALB,SRB,4,,263,
2000,ALB,SVK,,,60,147862.0
2000,ALB,SVN,6,1,76,878728.0
2000,ALB,SWE,6,,351,657448.0
2000,ALB,THA,,,,105993.0
2000,ALB,TUN,,,,6359.0
2000,ALB,TUR,6,2,,3426602.0
2000,ALB,TWN,,,,36394.0
2000,ALB,TZA,6,,,
2000,ALB,USA,6,,,7121632.0
2000,ALB,VAT,6,,,
2000,ALB,VEN,,,16,54412.0
2000,ALB,VNM,,,,6948.0
2000,ALB,ZAF,,,,9606.0
2000,ALB,ZWE,,,,310.0
